molecular formula,Altamaha_SW48_000107-2_p08
C8H10O6,3394125.5
C9H14O5,2613328.5
C10H18O4,1385939.8
C11H8O4,1570797.3
C8H12O6,1910510.8
C12H12O3,1198703.9
C9H16O5,1850353.5
C10H6O5,1171572.3
C11H10O4,2472054.5
C12H14O3,1430136.9
C10H8O5,2721001.8
C11H12O4,2893291.5
C12H16O3,1247469.6
C9H6O6,1812044.9
C10H10O5,3556430.5
C11H14O4,2502224.3
C12H18O3,1134930.0
C9H8O6,4032165.5
C10H12O5,5471399.0
C11H16O4,2749096.5
C7H6O6N2,1622004.5
C9H10O6,7036149.5
C10H14O5,7396599.0
C11H18O4,1688312.3
C12H9O3N,1657371.5
C11H21O3N,1178271.0
C8H8O5S,2651198.8
C9H12O6,7278912.5
C10H16O5,3881282.0
C11H20O4,1506883.4
C10H19O4N,1133416.0
C12H10O4,2460298.5
C9H14O6,3131019.3
C13H14O3,1161099.8
C10H18O5,2037900.6
C11H8O5,2304214.5
C12H12O4,2967000.0
C10H6O6,1430825.4
C11H10O5,4485675.0
C12H14O4,9066029.0
C13H18O3,1545774.3
C14H22O2,1679279.9
C10H9O5N,1280088.5
C10H8O6,4026504.5
C11H12O5,7240330.5
C12H16O4,3537548.3
C10H11O5N,1203774.8
C11H15O4N,1204800.8
C10H10O6,6405878.5
C11H14O5,8475385.0
C12H18O4,2354426.8
C10H13O5N,1212213.8
C9H8O7,2362996.8
C10H12O6,10171255.0
C11H16O5,7127929.5
C9H10O7,4119051.5
C13H10O4,1156108.8
C10H14O6,8428559.0
C11H18O5,2330385.5
C12H22O4,1451284.5
C12H8O5,1667643.0
C9H12O5S,2190011.3
C9H12O7,4194493.0
C13H12O4,1380542.4
C10H16O6,3600064.5
C11H20O5,1522243.9
C11H6O6,1226118.3
C12H10O5,4259210.5
C9H14O7,1245708.6
C13H14O4,3583886.3
C10H18O4S,1348366.6
C14H18O3,1369490.4
C15H22O2,3921302.5
C11H8O6,5057140.5
C8H12O6S,1229044.9
C12H12O5,7325305.0
C13H16O4,3298429.8
C11H11O5N,1728762.3
C11H10O6,7309185.0
C12H14O5,8793990.0
C13H18O4,4165515.5
C11H13O5N,1390102.1
C10H8O7,3266213.5
C11H12O6,10124459.0
C10H12O5N2,2817965.0
C12H16O5,8138929.0
C13H20O4,7060662.5
C10H11O6N,1672520.9
C10H10O5S,1165288.4
C10H10O7,6831595.5
C11H14O6,12788210.0
C12H18O5,5191159.5
C13H22O4,1321725.8
C10H13O6N,2420380.8
C12H21O4N,1264937.5
C13H25O3N,3623088.0
C9H8O8,1385029.9
C10H12O5S,1227337.3
C10H12O7,13284172.0
C14H12O4,1374543.3
C11H16O6,11076435.0
C12H20O5,2506073.8
